time,round_date,date_time,turbidity_clearwell_ntu
10:00:00,2018-04-09,"2018-04-09 10:00:00",0.0200
13:00:00,2018-04-09,"2018-04-09 13:00:00",0.0300
15:00:00,2018-04-09,"2018-04-09 15:00:00",0.0300
18:00:00,2018-04-09,"2018-04-09 18:00:00",0.0300
21:00:00,2018-04-09,"2018-04-09 21:00:00",0.0300
23:00:00,2018-04-09,"2018-04-09 23:00:00",0.0300
03:00:00,2018-04-10,"2018-04-10 03:00:00",0.0200
05:00:00,2018-04-10,"2018-04-10 05:00:00",0.0200
07:00:00,2018-04-10,"2018-04-10 07:00:00",0.0300
10:00:00,2018-04-10,"2018-04-10 10:00:00",0.0300
14:00:00,2018-04-10,"2018-04-10 14:00:00",0.0300
17:00:00,2018-04-10,"2018-04-10 17:00:00",0.0300
20:00:00,2018-04-10,"2018-04-10 20:00:00",0.0300
23:00:00,2018-04-10,"2018-04-10 23:00:00",0.0300
02:00:00,2018-04-11,"2018-04-11 02:00:00",0.0300
04:00:00,2018-04-11,"2018-04-11 04:00:00",0.0300
08:00:00,2018-04-11,"2018-04-11 08:00:00",0.0300
11:00:00,2018-04-11,"2018-04-11 11:00:00",0.0300
14:00:00,2018-04-11,"2018-04-11 14:00:00",0.0300
17:00:00,2018-04-11,"2018-04-11 17:00:00",0.0400
21:00:00,2018-04-11,"2018-04-11 21:00:00",0.0400
23:00:00,2018-04-11,"2018-04-11 23:00:00",0.0400
02:00:00,2018-04-12,"2018-04-12 02:00:00",0.0400
05:00:00,2018-04-12,"2018-04-12 05:00:00",0.0400
08:00:00,2018-04-12,"2018-04-12 08:00:00",0.0400
12:00:00,2018-04-12,"2018-04-12 12:00:00",0.0400
14:00:00,2018-04-12,"2018-04-12 14:00:00",0.0500
17:00:00,2018-04-12,"2018-04-12 17:00:00",0.0400
20:00:00,2018-04-12,"2018-04-12 20:00:00",0.0300
23:00:00,2018-04-12,"2018-04-12 23:00:00",0.0300
01:00:00,2018-04-13,"2018-04-13 01:00:00",0.0400
04:00:00,2018-04-13,"2018-04-13 04:00:00",0.0300
08:00:00,2018-04-13,"2018-04-13 08:00:00",0.0300
11:00:00,2018-04-13,"2018-04-13 11:00:00",0.0300
14:00:00,2018-04-13,"2018-04-13 14:00:00",0.0300
17:00:00,2018-04-13,"2018-04-13 17:00:00",0.0400
19:00:00,2018-04-13,"2018-04-13 19:00:00",0.0300
21:00:00,2018-04-13,"2018-04-13 21:00:00",0.0300
23:00:00,2018-04-13,"2018-04-13 23:00:00",0.0600
02:00:00,2018-04-14,"2018-04-14 02:00:00",0.0500
05:00:00,2018-04-14,"2018-04-14 05:00:00",0.0500
08:00:00,2018-04-14,"2018-04-14 08:00:00",0.0600
11:00:00,2018-04-14,"2018-04-14 11:00:00",0.0600
14:00:00,2018-04-14,"2018-04-14 14:00:00",0.0600
17:00:00,2018-04-14,"2018-04-14 17:00:00",0.0600
21:00:00,2018-04-14,"2018-04-14 21:00:00",0.0500
23:00:00,2018-04-14,"2018-04-14 23:00:00",0.0500
01:00:00,2018-04-15,"2018-04-15 01:00:00",0.0500
04:00:00,2018-04-15,"2018-04-15 04:00:00",0.0500
07:00:00,2018-04-15,"2018-04-15 07:00:00",0.0500
